item_id,min_price,median,quantity
199998,525,525,165
199476,375,700,62
4234,650,1085,35271
74843,187,2500,6357
7070,48,54,1216
62779,54,100,6876
200026,549,881,125
52984,478,587,40613
200025,556,1485,81
199993,500,500,138
2318,139,278,44044
2319,200,1199,68860
108328,100,450,2222
179271,89,89,19
56047,24,24,24
204859,380,380,5805
4235,11201,14900,8467
6149,125,143,680
3369,600,1800,3020
2871,22,500,129
8952,4,4,125
190535,38024,38800,1498
200034,2699,2799,354
157844,35,35,167
2775,2500,4599,14392
200010,5578,11192,304
200056,214995,215000,256
200041,754,925,364
53038,1698,1899,29134
12204,4,4397,1115
192970,4511,4511,1440
159756,138,143,15
172920,40,445200,141
207087,88985,89000,302
155608,32,32,56
158863,119,119,16
22789,400,707,2929
74846,390,2500,3912
1017,2,2,374
74840,600,2500,6508
54831,120,120,43
161344,200098,388295,626
56033,20,20,22
11407,9,9,7
155598,34,100,65
155610,41,100,52
207054,94,295,599
158775,49,70,76
74919,55,66,112
153487,95,1999,746
28501,1000,1000,143
158831,150,150,18
27651,102,102,61
33048,5,10,244
27655,5,5,105
193227,901,1515,9675
116271,777,1514,2001
29454,1299,1299,43
158836,3995,3995,1
116266,500,590,1168
158771,31,4800031,127
109145,775,900,252
155609,39,39,23
22788,1389,1800,156
25649,45,83,3312
81194,79,80,102
181468,1199,1599,3181
14343,50,61,12997
18640,5079,9999,438
9333,50994,50997,21
203417,50000,50000,283
178923,1200000,1200000,1
27422,12,17200,912
81055,16,18,578
179985,599999,599999,18
43490,198,200,3816
75037,200,200,108
27671,487,698,1106
27674,100,375,1097
89868,4000,5947,240
27658,400,495,133
3382,80,200,221
190537,31899,31899,159
27664,159,159,481
4391,6897,6897,22
185476,300,300,12
76135,196,5044,4010
200036,2799,2800,125
191334,1000,7577,4068
185480,4000,4000,13
190880,100,100,1002
211692,50,50,25
41285,9600,11500,39
40180,520,520,38
40179,4067,4067,64
128840,4999999,4999999,24
40177,6585,6585,20
40171,2000,2500,41
